quarter,metric,first_release_date,first_value,latest_value,last_update_date,base_year
2022-Q3,government_yoy,2026-05-30,7.6,7.6,2026-06-13,2015
2022-Q4,government_yoy,2026-05-30,4.5,4.5,2026-06-13,2015
2023-Q1,government_yoy,2026-05-30,-0.4,-0.4,2026-06-13,2015
2023-Q2,government_yoy,2026-05-30,3.7,3.7,2026-06-13,2015
2023-Q3,government_yoy,2026-05-30,5.6,5.6,2026-06-13,2015
2023-Q4,government_yoy,2026-05-30,7.4,7.4,2026-06-13,2015
2024-Q1,government_yoy,2026-05-30,8.6,8.6,2026-06-13,2015
2024-Q2,government_yoy,2026-05-30,2.7,2.7,2026-06-13,2015
2024-Q3,government_yoy,2026-05-30,5.7,5.7,2026-06-13,2015
2024-Q4,government_yoy,2026-05-30,2.1,2.1,2026-06-13,2015
2025-Q1,government_yoy,2026-05-30,2.7,2.7,2026-06-13,2015
2025-Q2,government_yoy,2026-05-30,5.7,5.7,2026-06-13,2015
2025-Q3,government_yoy,2026-05-30,5.8,5.8,2026-06-13,2015
2025-Q4,government_yoy,2026-05-30,6.6,6.6,2026-06-13,2015
2026-Q1,government_yoy,2026-05-30,4.1,4.1,2026-06-13,2015
2016-Q1,exports_comp_yoy,2026-05-30,1.0,1.0,2026-06-13,2015
2016-Q2,exports_comp_yoy,2026-05-30,2.1,2.1,2026-06-13,2015
2016-Q3,exports_comp_yoy,2026-05-30,-0.2,-0.2,2026-06-13,2015
2016-Q4,exports_comp_yoy,2026-05-30,2.4,2.4,2026-06-13,2015
2017-Q1,exports_comp_yoy,2026-05-30,9.9,9.9,2026-06-13,2015
2017-Q2,exports_comp_yoy,2026-05-30,9.3,9.3,2026-06-13,2015
2017-Q3,exports_comp_yoy,2026-05-30,10.6,10.6,2026-06-13,2015
2017-Q4,exports_comp_yoy,2026-05-30,5.1,5.1,2026-06-13,2015
2018-Q1,exports_comp_yoy,2026-05-30,2.3,2.3,2026-06-13,2015
2018-Q2,exports_comp_yoy,2026-05-30,2.0,2.0,2026-06-13,2015
2018-Q3,exports_comp_yoy,2026-05-30,0.5,0.5,2026-06-13,2015
2018-Q4,exports_comp_yoy,2026-05-30,2.9,2.9,2026-06-13,2015
2019-Q1,exports_comp_yoy,2026-05-30,0.3,0.3,2026-06-13,2015
2019-Q2,exports_comp_yoy,2026-05-30,0.6,0.6,2026-06-13,2015
2019-Q3,exports_comp_yoy,2026-05-30,-1.6,-1.6,2026-06-13,2015
2019-Q4,exports_comp_yoy,2026-05-30,-3.3,-3.3,2026-06-13,2015
2020-Q1,exports_comp_yoy,2026-05-30,-7.0,-7.0,2026-06-13,2015
2020-Q2,exports_comp_yoy,2026-05-30,-21.5,-21.5,2026-06-13,2015
2020-Q3,exports_comp_yoy,2026-05-30,-4.2,-4.2,2026-06-13,2015
2020-Q4,exports_comp_yoy,2026-05-30,-1.9,-1.9,2026-06-13,2015
2021-Q1,exports_comp_yoy,2026-05-30,11.8,11.8,2026-06-13,2015
2021-Q2,exports_comp_yoy,2026-05-30,37.0,37.0,2026-06-13,2015
2021-Q3,exports_comp_yoy,2026-05-30,11.1,11.1,2026-06-13,2015
2021-Q4,exports_comp_yoy,2026-05-30,17.7,17.7,2026-06-13,2015
